an nghia	Feeling of gratitude (for favour received..)
an ngu	To obstruct the access into
an nguoi	"to gain advantage over others by one's wits, to get the better of others by one's wits"
an nhan	"Leisured, leisurely"
an nhan	"Benefactor, benefactress"
an nhip	To be in tune
an ninh	Security
an noi	"to speak, to say, to express oneself"
an o	"to be accommodated, to be housed"
an oan	gratitude and resentment
an phan	To feel smug
an phi	"Legal costs, law expenses"
an quan	printing-house; printing-office
an quit	to eat without paying; to evade paying
an roi	to devour voraciously
an sat	Feudal provincial mandarin in charge of criminal cases
an si	retired scholar
an si	"Recluse, hermit, anchorite"
an so	Unknown (quantity)
an song	to eat uncooked food
an suong	"To be a night-bird, to walk the streets"
an tang	To bury
an tap	to gobble
an tet	to celebrate the New Year
an tham	greedy ; gluttonous
an than	To act as a tranquillizer
an the	"To take oath, to swear brotherhood (loyalty..)"
an thu	High and narrow table
an thu	"to sample food, to taste"
an thua	To play for the vanity of winning
an thua	to eat remains
an tiec	to attend a banquet; to feast
an tien	To take bribes
an tieu	To spend money
an tin	Official seal
an tinh	Deep feeling of gratitude
an tinh	"Secret feeling, secret intimate sentiment"
an toa	"To take a seat, to be seated"
an toan	Safe
an treo	Suspended sentence
an tri	"To banish, to exile"
an trom	"To steal, to burgle"
an tu hinh	death-sentence; death penalty
an tuong	(cu) Hidden physiognomic features
an tuong	Impression
an ui	"To comfort, to console"
an uong	To eat and drink
an va	To eat without rice
an va	To stage a sit-down (until one's debt is paid..)
an vi	"To be seated, to be in one's seat"
an vung	to eat stealthily; to eat on the sly
an xa	"To amnesty, to grant amnesty"
an xen	to graft
an xin	To beg
an xoi	To eat (consume) prematurely
an y	"To be in agreement (in harmony) with one another, to sympathize with one another"
an y	"Implication, hint"
ang	crock; container for areca-nuts and betel
ang	"Fleece (of cloud), remarkable piece (of literary work), a glorious period (of war)"
ang	To yelp
ang ang	about; approximately
ang ang	(of a dog) to yap; to yelp
ang chung	Approximately
ang hong	"To remain silent, to be silenced"
anh	Elder brother
anh	Image
anh	Clove
anh anh	"Gleaming, glimmerring"
anh ao	Virtual image
anh chi	"Ringleader, chieftain"
anh dao	Cherry
anh den	lamplight
anh dung	Of great fortitude
anh em	"Brothers, siblings"
anh hung	Hero
anh hung ca	"Epic, saga"
anh hung chu nghia	"Characteristic of self-seeking heroism, adventurous, reckless"
anh huong	"Influence, effect, impact"
anh linh	Hallowed memory (of a deceased person)
anh lua	fire-light
anh minh	Clear-sighted and able
anh nang	sunlight; sunshine
anh nuoi	Male cook
anh quan	Clear-sighted and able monarch
anh sang	Light
anh tai	"Luminary, outstanding talent"
anh thu	Heroine
anh tuan	Eminent person
ao	Pond
ao	Impetuously
ao	"Illusive, illusory"
ao	(dia ly) Austria
ao anh	"Illusion, phantasm, phantom"
ao ao	Impetuous
ao at	"Impetuous, vehement"
ao canh	Short jacket
ao choang	"Overcoat, gown"
ao dai	"Glowing tunic, dress"
ao giac	"Illusion, optical illusion"
ao giap	cuirass; armour
ao goi	pillow-case
ao khach	Chinese-styled jacket
ao khoac	Overcoat
ao la	Undervest
ao lan	"Diving-suit, diving-dress"
ao lot	"Vest, undervest"
ao mong	"Fantastic dream, day-dream, castle in the air"
ao mua	"Waterproof, raincoat, mackintosh"
ao nao	"Doleful, pathetic, plaintive"
ao ngu	night-dress
ao quan	Coffin
ao quan	Nhu quan ao
ao so mi	shirt
ao te	Ritual robe
ao thi	Optical illusion
ao thuat	"Prestidigitation, legerdemain, jugglery"
ao thung	Large-sleeved ceremonial robe
ao toi	Palm-leaf raincoat
ao tran thu	Padded cotton waistcoat
ao tuong	"Fancy, illusion, fantastic notion, day-dream"
ao tuong	Mirage
ao uoc	"To wish for, to long for, to crave for"
ao ve sinh	Cotton sweater
ao vong	"Fantastic hope, fantastic wish"
ap	"To press against, to stand against"
ap	"Full to the brim, brimful, brimfull"
ap	land holding (of vassal or nobleman)
ap	to rush in; to rush down
ap buc	To oppress
ap chao	"Half-fried, saute"
ap che	"To tyrannize, to persecute"
ap dao	"To overwhelm, to overpower"
ap dat	"To impose, to force on"
ap dung	"To apply, to put into practice, to put into application"
ap giai	"To escort, to conduct under escort"
ap luc	Pressure
ap suat	Pressure
ap tai	To convoy
ap toi	to dash forward
ap u	"to nurse, to nurture, to harbour, to cherish, to entertain"
ap ung	"to hum and haw, to stammer"
at	To drown
at	"Surely, certainly"
at	the second Heaven's Stem
au	Bright and cheerful
au	Small crock
au	"Careless, remiss, lax"
au ca	(cu) Sing in chorus the praises
au chau	Europe
au da	"To have a row, to have a dogfight"
au hoa	To europeanize
au hoa	Europeanize
au la	(cu) Would rather
au phuc	"European clothes, European suit"
au sau	"Sad, melancholy"
au tri	"Infantile, childish"
au tri vien	(cu) Kindergarten
au trung	Larva
au yem	"To caress, to fondle"
ay	Withered (noi ve co)
ay	To thrust
ay	That
ay nay	(To feel) uneasy
ba	Grandmother
ba	poisoned food
ba	"Waste, residue, refuse"
ba	Earldom
ba	"Any (trong anyone, anything, anywhere.)"
ba ai	one
ba am	to broadcast
ba ba	Trionychid turtle
ba ba	South Vietnamese pajamas
ba bay	"more than one, several, a variety of"
ba bi	"Bogey, bogy, bugbear, bugaboo"
ba bo	(thong tuc) Mother
ba bo mot gia	A sure thing
ba cao	"To broadcast, to disseminate widely"
ba chan bon cang	At full spead; as fast as one's legs could carry one
ba chang	Ogress
ba chi	side
ba chi	One's elder sister
ba chim bay noi	The ups and downs of life
ba chu	Mistress
ba chu	"Suzerain, dominator"
ba co	Spinster
ba coc ba dong ba do	A fixed and modest income
ba con	"Relative, relation"
ba cu	Old lady; old woman
ba cung	"Three ""with"" (live with, eat with and work with)"
ba dao	"Big wave, ups and downs"
ba dau sau tay	Superhuman strength (ability..)
ba do	Midwife
ba do xuy	overcoat
ba gac	"tricycle, trike"
